Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,2.2uF,
"C2, C5, C6",0603,3,0.1uF,
"C3, C4, C7, C8",1206,4,22uF,
D1,0603,1,RPI_PWR_OBI,
D2,0603,1,5V_OBI,
D3,0603,1,3V3_OBI,
D4,0603,1,ACC_UP_OBI,
D5,0603,1,BAT_LOW_OBI,
J1,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",1,12V_IN,
J2,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",1,RPI_PWR,
J3,PinHeader_2x06_P2.54mm_Vertical,1,MISC_OUT,
J4,PinHeader_1x06_P2.54mm_Vertical,1,STATUS_LED,
L1,L_Vishay_IFSC-1515AH_4x4x1.8mm,1,10uH,
L2,L_Vishay_IHLP-2020,1,1.5uH,
R1,0805,1,69.8k,
"R10, R11, R15, R17, R19, R21",0805,6,25k,
"R12, R13",0805,2,200k,
"R14, R18",0805,2,499k,
"R16, R20",0805,2,120k,
R2,0805,1,22.1k,
R3,0805,1,73.2k,
R4,0805,1,10k,
"R5, R7, R8, R9",0603,4,60.4,
R6,0603,1,143,
U1,SOT-23-6-DBV_TEX,1,LMR54410DBVR,
U2,SOT-23-6_Handsoldering,1,TPS563240DDC,
"U3, U4, U5",SOT-23-5,3,LM321MF,
