Designator,Mid X,Mid Y,Rotation,Layer
C1,57.85,-50.8,180.0,top
C2,62.4,-46.3,0.0,top
C3,67.05,-48.3,270.0,top
C4,57.15,-56.35,0.0,top
C5,57.75,-58.35,0.0,top
C6,56.75,-63.75,0.0,top
C7,64.5,-68.6,0.0,top
C8,64.5,-66.1,0.0,top
D1,97.2375,-75.7875,270.0,top
D2,94.7375,-75.7875,270.0,top
D3,92.2,-75.8,270.0,top
D4,99.825,-75.8,270.0,top
D5,89.65,-75.8,270.0,top
J1,44.45,-53.3,270.0,top
J2,66.1,-76.6,0.0,top
J3,74.555,-55.7,180.0,top
J4,92.2475,-80.2335,270.0,top
L1,63.15,-49.8,0.0,top
L2,63.65,-62.05,0.0,top
R1,60.65,-44.05,180.0,top
R10,88.75,-52.65,180.0,top
R11,87.75,-55.8,90.0,top
R12,83.95,-57.0,0.0,top
R13,86.05,-59.3,180.0,top
R14,88.75,-50.35,180.0,top
R15,88.75,-46.15,180.0,top
R16,88.75,-48.25,180.0,top
R17,83.95,-46.45,0.0,top
R18,81.375,-72.05,180.0,top
R19,85.425,-64.2,0.0,top
R2,56.65,-44.05,180.0,top
R20,84.425,-73.05,270.0,top
R21,85.425,-66.3,180.0,top
R3,53.35,-62.95,90.0,top
R4,53.35,-59.05,90.0,top
R5,96.0375,-71.0375,270.0,top
R6,93.5375,-71.0375,270.0,top
R7,91.0,-71.05,270.0,top
R8,98.625,-71.1,270.0,top
R9,88.45,-71.1,270.0,top
U1,58.699999,-47.687549,90.0,top
U2,57.25,-61.05,0.0,top
U3,83.9,-53.55,0.0,top
U4,83.9,-49.4,0.0,top
U5,85.525,-69.25,180.0,top
